,d,beta_0,beta_1,beta_2,G,pce,path,P1,P2
109,4.319036664398947e-06,0.31985491687953393,0.31985491687953393,0.9310864930358287,0.0368610729945601,22820.031640680165,False,24,34
110,4.650845370425145e-06,0.18412775931171868,0.18412775931171868,1.2025408081714593,0.022472211790097597,19278.18816119811,False,25,35
111,4.000120335694849e-06,0.18571126525295822,0.6925425307709692,0.6925425307709692,0.032327307654726856,23994.65881796807,False,26,36
112,6.46978700991916e-06,0.2892012613789716,0.6407975327079625,0.6407975327079625,0.04137293099757343,15606.989207802697,False,27,37
113,4.087157323037846e-06,0.039678340244093446,0.7655589932754016,0.7655589932754016,0.009167444468374022,19134.399674721266,False,28,38
114,4.757174461722668e-06,0.10773812900482344,0.10773812900482344,1.3553200687852498,0.013361464906113438,17322.15009938072,False,31,41
115,2.6411383364923945e-05,0.46383175811464245,0.46383175811464245,0.6431328105656117,0.04688218404903593,3928.1770777624088,True,32,42
116,6.444757021979904e-06,0.22646895793370492,0.6721636844305958,0.6721636844305958,0.036479743654280715,15260.463156689793,False,33,43
117,2.3524465571941673e-05,0.1034749446269474,0.7336606910839746,0.7336606910839746,0.021100419484586283,3769.5631003590192,True,34,44
118,6.5299268282150645e-06,0.015032315014438613,0.015032315014438613,1.5407316967660194,0.0018787562219962793,10281.442189979958,False,35,45
119,4.000120335694849e-06,0.3271663213561536,0.3271663213561536,0.9164636840825894,0.0375348385833707,24731.749075121286,False,36,46
120,6.46978700991916e-06,0.1392353633959881,0.1392353633959881,1.2923256000029204,0.01717372375198502,13241.761141618561,False,37,47
121,1.1122326779115828e-05,0.22769393590427636,0.22769393590427636,1.115408454986344,0.02740892876447944,8358.821056182056,False,38,48
122,4.736559186492146e-05,0.13049296969981006,0.7201516785475433,0.7201516785475433,0.025254238111089466,1933.1564635722475,True,41,51
123,5.379860527582573e-06,0.12705050966570527,0.12705050966570527,1.316695307463486,0.015706779235181465,15699.534881666566,False,42,52
124,2.491272329928567e-05,0.24951520819351256,0.24951520819351256,1.0717659104078714,0.029784776353364142,3791.45780272346,True,43,53
125,6.455591053246556e-06,0.4957798337606981,0.4957798337606981,0.5792366592735003,0.04782993264414826,16142.463089813555,False,44,54
126,5.517866625844726e-06,0.2252487927035973,0.2252487927035973,1.120298741387702,0.027138327781598602,16817.417852030583,False,45,55
127,7.793332914830657e-06,0.37413044155137454,0.37413044155137454,0.8225354436921475,0.04151235729034436,12965.739028527032,False,46,56
128,1.0045388286317103e-05,0.3767968277781357,0.3767968277781357,0.8172026712386251,0.041717953754000815,10069.585461660365,False,47,57
129,6.376589218796829e-06,0.439727181370166,0.5655345727123653,0.5655345727123653,0.047377209281658034,16308.047272180114,False,48,58
130,2.361322368367316e-05,0.06950682964374422,0.7506447485755762,0.7506447485755762,0.015144192786561761,3556.5758562883425,True,51,61
131,5.379860527582573e-06,0.004782977081449147,0.7830066748567237,0.7830066748567237,0.0011843693595900916,12125.593849089428,False,52,62
132,2.491272329928567e-05,0.04621482173948266,0.762290752527707,0.762290752527707,0.010540826239680601,3197.9323072841903,True,53,63
133,5.448709890463248e-06,0.23432856985911976,0.23432856985911976,1.102139187076657,0.02813886852649529,17147.67614449926,False,54,64
134,5.517866625844726e-06,0.28095273838508683,0.28095273838508683,1.008890850024723,0.03306901382103979,17473.2885941988,False,55,65
135,8.906401370651603e-06,0.2623424316196549,0.2623424316196549,1.0461114635555866,0.031145971038316192,10697.953205481806,False,56,66
136,1.0801050156046416e-05,0.2857775103074911,0.6425094082437027,0.6425094082437027,0.041148015161249094,9337.685208855357,False,57,67
137,6.376589218796829e-06,0.28752190872971567,0.28752190872971567,0.9957525093354652,0.033732031032620444,15180.358719393318,False,58,68
138,4.727372108843475e-06,0.023257573767463624,0.7737693765137165,0.7737693765137165,0.00555110750012267,15592.802494361573,False,61,71
139,1.2397085104160701e-05,0.07284306904875944,0.07284306904875944,1.4251101886973776,0.009072951063415834,6300.709193279618,False,62,72
140,7.649159608862845e-06,0.3852860315016549,0.3852860315016549,0.8002242637915867,0.04235642878909024,13267.104375315208,False,63,73
141,5.448709890463248e-06,0.11396547023535201,0.11396547023535201,1.3428653863241926,0.01412022983821364,15249.13577040191,False,64,74
142,5.909200586665933e-06,0.045625878557541855,0.7625852241186774,0.7625852241186774,0.01041858798557541,13460.861852866065,False,65,75
143,5.363583517592377e-06,0.01766592906352349,0.7765651988656865,0.7765651988656865,0.004263599905503144,13380.090925728435,False,66,76
144,6.363801601528199e-06,0.11782503256658239,0.7264856471141571,0.7264856471141571,0.023367631757736772,14187.328240964696,False,67,77
145,9.953992453523786e-06,0.026495560934900686,0.7721503829299979,0.7721503829299979,0.006283452346632721,7506.556711615295,False,68,78
146,5.067799939937086e-06,0.2545243921595024,0.2545243921595024,1.0617475424758918,0.030319629719595065,18702.751140338903,False,71,81
147,5.289580745785402e-06,0.3448758120523172,0.3448758120523172,0.8810447026902621,0.039109269837711985,18863.593090625396,False,72,82
148,7.649159608862845e-06,0.14987099696026274,0.7104626649173169,0.7104626649173169,0.02794216116304654,12198.528558499265,False,73,83
149,6.016340751141149e-06,0.002355578484580316,0.002355578484580316,1.5660851698257359,0.0002944462213551039,10237.343815835926,False,74,84
150,5.757298632131813e-06,0.042211895980547975,0.7642922154071743,0.7642922154071743,0.009704144242687042,13685.172166057642,False,75,85
151,5.363583517592377e-06,0.06592518429582728,0.7524355712495346,0.7524355712495346,0.014464977292345685,15547.791708146195,False,76,86
152,6.363801601528199e-06,0.2695993753574024,0.6505984757187471,0.6505984757187471,0.04002235943825051,15755.665333462439,False,77,87
153,9.953992453523786e-06,0.0810715522178136,0.0810715522178136,1.4086532223592694,0.010089158440507487,7957.278335660096,False,78,88
154,8.532393332235994e-06,0.26389074811851687,0.6534527893381898,0.6534527893381898,0.03959973181877534,11724.956550235616,False,81,91
155,5.093049080795454e-06,0.10407570335004634,0.7333603117224251,0.7333603117224251,0.021198188412939554,17425.327663562388,False,82,92
156,4.882535400292737e-06,0.4275462447290914,0.5716250410329026,0.5716250410329026,0.04713609988310206,21274.281341605514,False,83,93
157,6.016340751141149e-06,0.22674601772688385,0.22674601772688385,1.1173042913411289,0.027304123698915758,15441.700614944875,False,84,94
158,5.757298632131813e-06,0.11428207735998488,0.11428207735998488,1.3422321720749268,0.014158745325253944,14437.730782521441,False,85,95
159,4.819000600183449e-06,0.37132669472108415,0.37132669472108415,0.8281429373527283,0.04129362902954527,20944.72624567079,False,86,96
160,6.693846952798634e-06,0.2895624672646178,0.2895624672646178,0.9916713922656609,0.033936214271198084,14478.415233338212,False,87,97
161,1.0501305180131327e-05,0.20443779528827943,0.6831792657533086,0.6831792657533086,0.034339098749470214,9250.93396248958,False,88,98
